userName;score;at;content;;
Bastian Rosyidi;1;15/03/2023 10:33;Voucher gak bisa di kombo lagi, gak kaya shope di tambah dobel order makanan saya lama sampainya udah dingin jadi gak enak tolong dipetibangkan lagi kebijakannya;;
DJ PAY;1;15/03/2023 10:32;Makin kesini makin jelek apa lg peta lokasi byk yg di blok di stasiun bogor aja sampe susah pesan hrs jalan dulu mencari titik dimana lokasi yg ga di blok,lebih baik uninstal ganti sm yg sebelah aja.;;
Sarengat Ngat;5;15/03/2023 10:31;Oke;;
Mayang Sari;5;15/03/2023 10:28;Aplikasi nya bgus... Insya allah gx bikin kecewa gays...;;
Adi Ficri;5;15/03/2023 10:24;Ok;;
kakek sugiono;5;15/03/2023 10:22;entah siapa yg salaahhh ku tak tauuu;;
Adi Pitoyo;5;15/03/2023 10:18;Bagus bgtt;;
Fleminggo Alexander;1;15/03/2023 10:07;Cukup bagus namun fitur nya di lengkapi iklan juga apk nya sering keluar sendiri buat hp ram 1gb serinng tutup sendiri Sebenernya cukup bagus apk ini ke kurangan bya ya itu tadi;;
Rarae Anggi;5;15/03/2023 10:01;Membantu sekaliiiii;;
Agung Pauzi;1;15/03/2023 09:57;Terlalu banyak biaya layanan Mahal . Ekonomi sedang tidak baik2 saja Tolong sesuaikan dengan kondisi;;
Siti Rachma;1;15/03/2023 09:56;Pindah ke lainnya saja apknya berat nggak bisa order. Payah;;
Bahtiar Rifai;5;15/03/2023 09:55;"Ok bangetttt apa"" serba bisa pake gojekk 🤗";;
Ananda Trio;5;15/03/2023 09:49;Mantap sangat mrmbantu;;
Riska Dewi afidah;1;15/03/2023 09:44;Sudah pakai titik jemput di peta aja ga bisa;;
Muhammad Fauzi;5;15/03/2023 09:39;Bagus;;
Saeful Malik;5;15/03/2023 09:38;Ok;;
Zulfikar Fauzi;1;15/03/2023 09:36;Buat para customer gojek yg terhormat, perlu anda ketahui.. dibalik mahalnya ongkos anda, driver hanya dapat sedikit dr ongkos tersbut contoh ongkos anda gofood 12.000 driver hanya menerima 7.200 blm potong parkir d resto.. ya mohon dimaklumi, ya seperti itulah gojek kepada mitranya.;;
Moch Ali;1;15/03/2023 09:35;Lama banget cari drever;;
Endang Osing;5;15/03/2023 09:32;Sopan & sabar...;;
LINTAS CCTV;1;15/03/2023 09:22;akun gojek saya mana sampai sekarang belum kembali parah padahal sudah kirim data;;
Abetta G12;2;15/03/2023 09:21;Mantapp bsnyakin promo nya;;
CV MULTI MEDIA NETWORK;5;15/03/2023 09:04;Oks saya maafkan;;
Soleh Hasan;1;15/03/2023 08:56;BIAYA GOPAYLATERNYA BIKIT MALES PAKAI GOPAYLATER. BELI PULSA ONLI 20 RIBU VIA TOKPED KENA BIAYA BULANAN 15 RIBU. LINTAH DARAAAT!;;
affandi kurniawan;5;15/03/2023 08:54;Mantap;;
Putri Wulandari;5;15/03/2023 08:39;bagus aplikasinya, sedikit cerita, saya pernah buat laporan langsung diproses tidak pakai lama. terima kasih banyak gojek;;
Aziz Abror;5;15/03/2023 08:39;Aplikasi bapuk 🤣🤣🤣🙃 pesen gooooosend drivernya go away semua 🤣🤣🤣;;
Fatin Fatin;1;15/03/2023 08:21;aplikasibgak bener ini;;
Rudi Maulana;5;15/03/2023 08:13;Uda pasti;;
noto sarno;5;15/03/2023 08:09;Nyaman pke gojek;;
Bule Coli;1;15/03/2023 08:08;sangat buruk lama dapat driver 👍;;
diki jularifin;1;15/03/2023 08:03;Potongan gede k driver dikit ..... Mahal lgi;;
Yadi Ramdani;1;15/03/2023 08:02;Terlalu susah cari driver di jam sibuk;;
Rosma Azzh;5;15/03/2023 07:58;Aplikasi luar biasa makasih;;
Hasan H.kessang;5;15/03/2023 07:39;Tdk selalu minta update aplikasix..;;
sulistia hariani;5;15/03/2023 07:35;Kenapa kok gk bisa buka Go ride ya;;
Ari Ravi Qiqi;1;15/03/2023 07:25;Driver gojek meresahkan kalo tiap hujan. Sekali nya dpt di cancel. Berkali2 pesen di cancel krn posisi jemput nya jauh. Nah di trafik map gojek nya banyak gambar motor yg deket area rumah. Tp sayang nya para driver ora sudi buat ambil orderan. Ya.... klo emg gak mau ambil orderan akun driver nya mending di OFFin donk... pesen dri jam 5.30 ampe jam 6.45 baru dpt kan kebangetan. Sedangkan anak saya masuk jam 6.30 sudah di tutup gerbang nya. Tolong ya di perhatikan lagi. Sangat kecewa bgt;;
Udi Rahadi;5;15/03/2023 07:04;Hmmmm....jek...jek....saham kapan ya cair...??...udah miris nih kantong, akunnya anyep terus kaga gacor😂😂😂.....;;
Reza Rismawan;5;15/03/2023 07:04;Untuk skrang bintang 5 , dukung terus karya anak bangsa.;;
Jepri Dwi Yulianto;5;15/03/2023 07:01;Ok, mantap;;
Soebandono Poerwantoro;4;15/03/2023 07:01;aplikasi lengkap dan mudah dalam implementasinya;;
Pecinta Habaib;1;15/03/2023 06:59;biaya pelayanan da lain lain makin mahal.. termahal dah dari apk lain;;
Dedi aris Febrianto;5;15/03/2023 06:57;Mantapp...;;
Maulana Iskandar;1;15/03/2023 06:51;Driver selalu lambat dalam menjemput;;
KOREK API;4;15/03/2023 06:46;PROMO GK BISA DI GUNAKAN;;
vitha kaila;1;15/03/2023 06:43;Pke gocar udh dpt malah di btalin sepihak sma driverny pdhal udh dikit lagi smpai titik penjemputan.. Tolong driver klo ga mw ambil ordern dri awal udh tolak dong jgn udh smpai mlah di tolak;;
I Putu Gede Maha Jaya;5;15/03/2023 06:39;Aplikasi Gojek Sangat Memuaskan 😎😎😎;;
Gaffar 2008;1;15/03/2023 06:34;Dulu gojek bagus tapi sekarang gk bgt pelayanan buruk qplikasi juga gk jelas masa dicariin driver terjauh, orang jelas² saya liat abang gojek pada nongkrong sebrang jalan, emg aneh gojek jelek gk bgt sekarang. Tolong deh foundernya buat gojek kayak dulu lagi.;;
Nur Janah;1;15/03/2023 06:31;Aplikasi rusak ini ngapain di download akun gopay saya tiba tiba di blokir saya tanya sama call center katanya akun saya melakukan transaksi yang janggal perasaan gak pernah lah orang saya gunakan biasanya buat beli pulsa hp token listrik masak tiba tiba di blokir Udah saldonya masih ada lagi di akun yang di blokir aplikasi tolol emang;;
Nawi 091011;5;15/03/2023 06:31;Sangat bagus;;
Acho Wildan;5;15/03/2023 06:31;Kenapa saya ga bisa tarik tunaai pa;;
AGUS TRIYONO;5;15/03/2023 06:21;Ya.. lumayan..lah..bagus.. pelayanan oke;;
david aksan;5;15/03/2023 06:19;Mantap;;
Bayu Priambodho;5;15/03/2023 06:10;Sangat membantu;;
Kania Kelas 72;5;15/03/2023 05:58;Lancar jaya;;
lia;1;15/03/2023 05:50;Map sering eror, posisi driver tdk bergerak;;
H M ihsan bl;5;15/03/2023 05:48;Sangat membantu di sitkon yg mendesak....thx dan tingkatkan lg;;
green note8;1;15/03/2023 05:46;Awalnya senang pk gojek lama2 kesel..... Iy sich d kasih promo2 cashback, tpitu cashbacknya ga bisa dpake buat apapun....ribett mending ga usah coin2 klu blm siap;;
Abado Samutt;1;15/03/2023 05:35;Aplikasinya bisa loading otomatis pindah halaman saat mau masukkan voucher diskob, akibatnya bisa salah pencet jika tidak hatii hati;;
Bahari Cahyadi;2;15/03/2023 05:25;Biasa aja;;
syaiful mujab;5;15/03/2023 04:45;Bagus;;
ryan aldi setyawan;1;15/03/2023 04:42;BLOGG keluh kesah driver iku yo rungokno chokk, ora ono driver ora bakal maju koyok ngene usahamu!!;;
Muamar Ali;5;15/03/2023 04:38;Poin ny bisa d gunakan d toped;;
Rifta Cassanova;1;15/03/2023 04:15;Setiap kali sy order baik GORIDE maupun GOFOOD loading lama sekali mendapatkan driver dan sy hanya heran selalu dapat drivernya dia lagi dia lagi mana tanpa atribut bau badan pula pake sendal 🤑 lalu kenapa saat hujan pasti driver lain yang mengantarkan pesanan sy pas besoknya berangkat ke kantor sy order kembali dia lagi dia lagi yang pickup , apa itu driver bayar perbulan ya sama kantor GOJEK 🤔 jadi dia terus yang di kasih orderan setiap sy order , GOJEK emang gk kasian sama driver lain ya 🤔;;
TRIKER;1;15/03/2023 03:28;Apk oke..tranfer nya cepat dan muda....tingkat kan trus..trmksh;;
donna anugrah;1;15/03/2023 03:26;Saldo gw malah ngilang gak masuk ke BCA mobile;;
Yaya Mulyana;5;15/03/2023 03:11;Oke;;
I R O;1;15/03/2023 02:37;kok gopay sekarang gabisa buat top up2 yang lain ya?? pdahal ngisi gopay banyak buat top up game tapi sekarang tulisannya selalu ga tersedia mau bayar di aplikasi apapun;;
Mochammad Syahrul Ramadhan;1;15/03/2023 02:33;sekian lama uninstall gopay, giliran install lagi pas transfer kebank malah proses seharian. jelek parahhh;;
nata nia;4;15/03/2023 02:20;apakah iya bisa pinjam pulsa?;;
Abraham Bulan;5;15/03/2023 01:07;Bgs;;
Ling Alberto;2;15/03/2023 01:02;Mengapa fitur tarik tunai nya sudah tidak ada;;
Wigi Anwari;5;15/03/2023 00:48;Okay;;
Kamal Udin;5;15/03/2023 00:46;Okelah;;
topan Sugianto;5;15/03/2023 00:18;Biak;;
fakhri muller;5;15/03/2023 00:06;Ok;;
Feronika Simarmata;5;14/03/2023 23:53;Sangat membantu di saat mendadak berpergian;;
Dimas Muhammad;1;14/03/2023 23:47;Gojek tambah mahallll, biaya layanan bisa sampe 11rb, belom ongkirnya.. ampun dah..;;
Subandi Antonisa;5;14/03/2023 23:18;keren ms pingin peluk aja;;
Nopan Putra;5;14/03/2023 23:17;Sangat membantu banget ada nya aplikasi Gojek Mantaf;;
Abdillah Bintang Ramadhani;1;14/03/2023 23:02;order gofood bisa nunggu lama sampai 30 menitan kemudian driver konfirmasi bahwa resto tutup, padahal status di aplikasi masih buka .. tolong ya saya paling tidak suka menunggu lama, apalagi sudah menunggu lama namun ternyata zonk! mohon perbaiki sistemnya serta regulasi dan aturan terhadap resto. untuk menghindari resto yang tidak bertanggung jawab berikan sanksi kepada resto apabila kasus seperti yang saya alami terjadi. ini hanya salah satu dari beberapa pengalaman buruk saya pengguna gojek!;;
Adhi Ahmad;5;14/03/2023 22:58;Cukup ngebantu kalo lagi mager;;
DODI Kurniawan;5;14/03/2023 22:45;Mantap;;
Robbiaz Naufal;5;14/03/2023 22:33;Oke;;
Helmy Nicholas Saputra;1;14/03/2023 22:17;Ada apa nih dengan gojek, udah di update juga tetep aja gak ada perubahan, loading terus gak bisa bayar²...;;
Andy Pro;5;14/03/2023 21:58;Mantap;;
R0a Daeng;5;14/03/2023 21:53;Sangat membantu;;
Said Akbarun;1;14/03/2023 21:42;Lemot;;
Dani asma Permadi;2;14/03/2023 21:40;Jelek banget ya. Masuk Link nya saja susah.;;
Pengguna Google;1;14/03/2023 21:34;Mulai tgl 01-11-2018 gojek luar kota dah ga bisa narik diluar kota 😥😢😭mutasi pun dipersulit😓;;
Rachmat Zigit;5;14/03/2023 21:18;Puaaas;;
Arjony Jony;5;14/03/2023 21:18;Baik buat saya pribadi;;
Hendra Saputra;5;14/03/2023 21:06;Cukup membantu;;
Muh.samsul bahri #93;5;14/03/2023 21:06;Mantull;;
Daud Salomo;1;14/03/2023 21:04;Makin mahal, semakin terus naik dan ada aja alibi dengan alasan biaya pelayanan... NO RECOMMENDED 👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻;;
Peros channel;5;14/03/2023 21:02;makasih gojek membantu pengiriman barang;;
Nursufi Auliana;5;14/03/2023 21:01;tolong banyakin promo eheh;;
Jhon Sitompul;1;14/03/2023 20:57;Koq gopay coin gak laku dimana mana ya;;
Hasnul Nadri;5;14/03/2023 20:48;Aplikasi nya bagus banget;;
Nur Irfan Pangestu;1;14/03/2023 20:36;Semenjak ada feature pilihan gofood lebih cepat, pilih yg hemat sampainya lama banget. Kalau mau dapet cuan, nggak usah begini juga kali. Naikin aja harganya dari pada nunggu lama kaya begini.;;
Bea Verriyanti;1;14/03/2023 20:34;Makin kesini makin aneh dan gak jelas... akun sudah dipake lama.. tiba2 semua diskon resto gak ada..tinggal diskon ongkir..sudah chat dan tlp cs sampe tekor pulsa..jawabannya cuman akun anda tidak ada masalah.. lalu gak ada solusi.. buat apa ada cs wooyy..abis2in pulsa..;;
three DT;1;14/03/2023 20:32;biaya layanan dll nya sangat mahal/besar, sedangkan pendapatan drivernya kecil/murah !!;;
hery ceper;1;14/03/2023 20:32;Tarif gojek kok mahal yah, tolong dong tarif lebih terjangkau buat costumer;;
Aiiu Chibeee;1;14/03/2023 20:29;Makin kesini makin mahal ditambah udah gaada vocher gofood ! Bye aja deh pake gojek;;
Mas Dens;1;14/03/2023 20:15;Ini jelek nya gopay later bayar akhir bulan sebelum lewat dri tgl 1 , di tagih bulan sebelum nyaa, jadi mau tokped now w gk mau lgi apa lagi pay later di gojek, seharusnya gopay later sdh dibayar, dan mau ambil lgi ditagih nya bulan depan udah tau gk semua orang punya duit SEGEPOK.;;
Handarto Santoso;5;14/03/2023 20:14;Sangat membantu. 👍👍👍👍👍;;
Ikram Sur;1;14/03/2023 20:13;"Pin udah di ganti bolak balik tapi pas mau transaksi pas udah masukin pun yg udah di ganti muncul tulisan ""transaksi gagal kamu udah berulang kali masukin pi yg salah"" Gmna ya ada saldo nya lo ga recomended sih";;
MUHAMMAD ADITYA FAHRIANSYAH;5;14/03/2023 19:48;Bagus dan mantap;;
Adam Salim;5;14/03/2023 19:47;Gojek mantap, biar bintang berbicara.;;
Hesti Septianingsih;5;14/03/2023 19:46;Terimakasih ya pak;;
Nazela Putri;1;14/03/2023 19:44;Ongkir;;
Muhammad Ulil amri;5;14/03/2023 19:33;Alhamdulillah lega pake aplikasi ini membuat sedekah Sirri terlaksana;;
Andreas Junicer;1;14/03/2023 19:28;Aneh;;
REPUBLIK 420;5;14/03/2023 19:25;Bagus;;
ihsan eric;1;14/03/2023 19:18;Udah Biaya Layanan paling MAHAL, Pesen Gofood masa harus Nunggu 30 menit baru Dapet DRIVER, aneh... Pantesan aja pada pindah ke Sebelah Karena Lebih Murah & Cepat;;
puspita agustinasari;5;14/03/2023 19:11;Pelayanannya memuaskan;;
Sipa Baturaja;1;14/03/2023 19:08;Ini kenapa saya nga bisa download nya yah padahal memo saya engga penuh tuh;;
David;1;14/03/2023 19:01;Lemot bgt cacat;;
Iis Marsela;1;14/03/2023 18:59;ini gojek kenapa saya belom daftra gojek tapi kok ada akun orang lain sih;;
Rudy Setiawan;1;14/03/2023 18:57;Kalo di aplikasi buat customer tu robot/customer service balas ya komplainan para customer yg terhormat, giliran di aplikasi driver sampe Berak Kapur ga bakalan di baca trus ditanggapin, apalagi ada perbaikan... walahhh..mimpi !!!!;;
Ana Juwita Dwi Putri Kevi;5;14/03/2023 18:49;Bagus;;
MOKHAMMAD NURIL INSAN;5;14/03/2023 18:35;Tambah fitur baru dong. GoTiket. Buat pesan tiket kereta api dan sebagainya. Seperti aplikasi sebelah. Terima kasih.;;
Zinedine Ryan;5;14/03/2023 18:22;Oke;;
Vandian Saputra;5;14/03/2023 18:19;Mantap;;
Albir Keniro;1;14/03/2023 18:13;Biaya biaya makin sini makin tinggi, terus sering error juga. Order goride sering dpt driver yg jauh apalagi. Bukannya membatu malah makin susah;;
Majid Majid;5;14/03/2023 18:08;Gojek eror seketika juga;;
Joyo Joyo kesumo;5;14/03/2023 18:07;Bagus bangat;;
Muhammad Dean;1;14/03/2023 18:07;Gofood udh jarang ada promo payah;;
Romi Tri Widagdo;5;14/03/2023 17:54;Mantabs;;
Dimas Sanjaya;5;14/03/2023 17:51;Sangat membantu dan murah;;
Okta Rosadinata;5;14/03/2023 17:41;Mantab;;
Darmastuti Utarini;5;14/03/2023 17:41;Cepat n mantaps...;;
Ngai Zin;1;14/03/2023 17:36;Sepertinya gojek sudah tidak memanusiakan dreferl lagi udah mulai bangkrut kali;;
Mamet Irawan;1;14/03/2023 17:31;PT gojek indonesia , PT dzolim buat sebagian mitranya...;;
susi Suswati;5;14/03/2023 17:29;Mantap ada grabe kalau admin biaya uangnya jangan terlalu mahal;;
Mr Zay;5;14/03/2023 17:25;Sangat membantu perjalanan;;
Ris Nar;5;14/03/2023 17:21;Lumayan bagud;;
Felice Yuliya;1;14/03/2023 17:20;Habis di update gak bs pakai gopay koin di alfagift;;
Noviandi Aan;5;14/03/2023 17:20;Berfungsi dan bermanfaat dgn baik;;
Denz Denz;1;14/03/2023 17:17;Tolong dong jika ngerekrut.. DRIVER lebih selektif.. Jangan yang sikap nya jelek. marah2 sama Penumpang... mana di pinggir jalan. tolong untuk pihak gojek lebih baik merekrut driver;;
Februari 2023;5;14/03/2023 17:17;Mantabb;;
Asabila Diana;4;14/03/2023 17:10;Kok promo nya kosong.kasih dong promo gofoof biarin jalan trus;;
Aing Wawang;5;14/03/2023 16:51;Tepat waktu;;
Jaja Subarja;5;14/03/2023 16:50;Perjalanan nya nyaman;;
Akbar z92;1;14/03/2023 16:50;Ini kenapa ya apknya jadi ga bisa order naik gocar & gored. Di tampilan menu pilihannya jadi ga ada.;;
mona juliana;2;14/03/2023 16:46;si paling gamau ambil orderan gocar kalo bawa barang dan ukuran org jg ga terlalu bnyk padahal udh pake gocarr(L) gimana nih solusinya?!!!!;;
Topan Drainyou;5;14/03/2023 16:44;mantap;;
Sunu wahyudi;4;14/03/2023 16:38;Perbanyak gobox;;
hadi ratnoto;5;14/03/2023 16:26;Bagus;;
Aden najmi;5;14/03/2023 16:23;Mantap lah;;
Deni Saepul rohim;5;14/03/2023 16:21;Terimakasih untuk layanan nya, Semoga semakin sukses 🙏🙏;;
Tiyadi 123;5;14/03/2023 16:19;Drever yg baik siip terimakasih.ya mas;;
andiwars;1;14/03/2023 16:18;Lemot berat dll;;
Usman Alor;4;14/03/2023 16:10;Bagus bisa dipercaya;;
Marwa Athifatul;5;14/03/2023 16:03;Terbantu sekali dengan adanya gojek👍👍;;
Rngt;4;14/03/2023 16:02;Kaget sama perubahan sistem gofood yang berubah harus selesai nyiapin makanan dulu baru bisa dapet driver keren'😂,tolong Adain vitur bisa chat pihak restoran nya untuk mengenai ada yang kurang/lupa nulis,saya setiap gofood rasanya seperti ga puas,berbeda dengan gojek versi lama;;
Rusminah Minah;5;14/03/2023 15:56;Ok;;
Aman Aman;1;14/03/2023 15:46;Gojek GK jelas,GK pernah aneh2 akun di blokir katanya ada aktivitas mencurigakan,mank situ pikir saya maling, GK jelas banget;;
Muhammad baronsyahinu kencana Baransyahinu Kencono;5;14/03/2023 15:44;Kurangin ngetime dan sedia stok kembalian uang Kecil Plus kasih tahu drivers nya jangan hilang Mendadak Gitu;;
Riki Ardian;5;14/03/2023 15:41;Aplikasi sangat membantu;;
Dhany Gegef;5;14/03/2023 15:38;Ok;;
Raras raras;1;14/03/2023 15:37;Hapus biaya jasa aplikasi ..serakah bener;;
Mukhlis Khoerependi;5;14/03/2023 15:37;Mantap;;
Muhammad Fakhoor;5;14/03/2023 15:36;mengecewakan edit : udah mendingan;;
Deni tempe;5;14/03/2023 15:34;Good aplikasi;;
Maria Rosita;1;14/03/2023 15:34;Sudah sering belanja makanan gojek food dan gojek driver tp vocer kadang gak bisa di pake....ni malah gofoodnya gak da promo. Bilangnya aja promo pas di klik udah hbs lah mengecewakan gojek sekarang nih...marilah kita beralih ke grab yg lagi banyak promonya;;
Nabila N Khasana;2;14/03/2023 15:33;Gojek, kenapa voucher gratis ongkir nya cuma 4k an minimal belanjanya juga 40k😭;;
Viator Aan;5;14/03/2023 15:19;baik;;
Tatik Yuminingsih;5;14/03/2023 15:15;perjalanan bersama Gojek selalu aman👍;;
Ofanozy Channel;1;14/03/2023 15:13;Akun terbanned promo tanpa sebab... Gk mau rugi bakar duit jangan kasi promo dong. Bukan usernya yg dibunuh.;;
Adi Reja;5;14/03/2023 15:12;Trmksih oke plyammya;;
Rondina Tiurlan;5;14/03/2023 15:07;Selama 38 thn saya jd guru di Sdn.dan berakhir pd 5 thn yg lalu. sekarang saya selama 5 thn saya menjalani pensiun sp sekarang.;;
Ihya Ul Amin;5;14/03/2023 15:07;Mantap;;
Heri Badak;5;14/03/2023 15:03;Ok banget;;
Iyank Pardian;5;14/03/2023 14:41;Mantap;;
madam mey (mey);5;14/03/2023 14:37;cepat dan ramah;;
Iwan Pratama;1;14/03/2023 14:33;aplikasi ngeleg banyak bug . jdi kalo order suka doble driver nya;;
Orang Orek;2;14/03/2023 14:25;Tolong fitur One tap lebih diperhatikan, soalnya waktu itu saya mencek itu hanya untuk melihat harga saja, tapi gataunya sudah ada 2 gocar yg terpesan, terima kasih;;
Marna Sutisna;5;14/03/2023 14:25;Sangat membantu jika ingin bepergian kemana mana, makasih gojek.;;
Puji Santoso;5;14/03/2023 14:17;Sangat membantu;;
Esty Yua;5;14/03/2023 14:13;Memudahkan segalanya .. thx a lot gojek;;
Ali makki;5;14/03/2023 14:09;Mantap;;
Ahadiansyah Hady;5;14/03/2023 14:04;Mantap;;
Latifa Anggraeni;5;14/03/2023 14:02;Sangat sangat membantu untuk aku yang mager;;
Komang Wijaya;5;14/03/2023 14:02;Ok dgn adanya gojek kita bisa mempermudah bertransaksi ..terimksh;;
May Susanti;5;14/03/2023 14:01;Terima kasih..berkat gojek semua lancar;;
M. Syaeful Huda;5;14/03/2023 13:58;Ok;;
Da'i Thami Falah;1;14/03/2023 13:54;Tidak dapat membatalkan pesanan karna salah karna salah alamat, driver juga tdk mau mengantarkan pesanan padahal biayanya akan saya tambahkan;;
Ferry Febrian Halim;5;14/03/2023 13:51;sangat membantu;;
Aini Aini;5;14/03/2023 13:51;Ok;;
Muhamad rijal Zayiz mubaraq;1;14/03/2023 13:47;Lokasi dimana pesanan dimana ampun dahh;;
Heri Cikur;5;14/03/2023 13:44;Pelayanan nya sangat baik.Terima kasih.;;
FEBRYAN;5;14/03/2023 13:41;Sangat membantu good😇;;
Raihan Gunadi;2;14/03/2023 13:41;Untuk biasa jaya aplikasi mohon di kurangi lagi, thank you;;
Achmad Fadhil;1;14/03/2023 13:38;Sering banget terjadi kendala di sistem gopay kayak gagal transaksi dann lain lain saya jadi malu harus gagal teru ini gimana lagi semakin hari semakin jelek;;
Sigit Noegroho;5;14/03/2023 13:37;Bagusss tapii gk di kasih voucher;;
KiRi Twins;5;14/03/2023 13:35;sejauh ini masih terbaik;;
Wiwin Yanuarti;5;14/03/2023 13:29;Semuanya saya suka;;
danti astriawati;1;14/03/2023 13:24;Kenapa ya kok akhir2 ini pesen gofood susah bngt, lemot;;
Anik Susanti;5;14/03/2023 13:23;sangat membantu untk transportasi umum;;
WAYAN GEMERS;1;14/03/2023 13:19;Saldo tidak masuk padahal dah lapor di jawab nggak sama pihak gopay gwa top up 100 rb di pegadaian gak masuk masuk ini gimana!!;;
Rahman Alaik;2;14/03/2023 13:19;Tolong dicekkan pembayaran saya, saya sdah bayar tagihan bpjs tanggal 10 maret, tapi kenapa tanggal 14 maret masih ada tagihan, nanti kalo beres saya kasih bintang 5 lagi;;
Farid Irfan syarif;1;14/03/2023 13:18;"Sudah 1 tahun lebih berlangganan go food.Hampir setiao heri selalu pesen go food bareng temen temen,tapi sekarang kenapa malah promo saya dihilangkan semua.Tidak ada lagi promo di sekua resto di aplikasi gofood saya. Tolong lah,saya sudah member go club level ""anak sultan"" tapi makin sering pesen go food kenapa promo sering dihilangkan seperti ini????";;
egi herdiansyah;5;14/03/2023 13:12;Ayo bangkit Gojek💪 lawan sibiru dan sikuning;;
Gadis Shidqiyyah;5;14/03/2023 13:11;Oke mksh;;
rauf direktur (n99 clothing);5;14/03/2023 12:51;Solusi saat membutuhkan jemputan;;
BRAMASTA16;1;14/03/2023 12:44;Promo gofood sudah nggak bisa dipakai dobel kayak dulu. Jadi males beli gofood sekarang. Saya bukan protes. Cuman menyampaikan pandangan saya sebagai konsumen gofood. Tambahan: saya turunin bintang lagi karena apa? Karena biaya layanan di gofood sekarang udah nggak ngotak bosss,, mana ada beli americano 17 ribu, biaya layanannya 11,5ribu itu belum ongkir kan jadi males beli di gofood. Bye gofood saya ke Shopee food aja sekarang. Mereka lebih rasional kalau ngasih biaya layanan,, Tengkyu!!!;;
Rifqyy Sirajj;1;14/03/2023 12:39;Ongkir kemahalan, gofoodnya jg mahal;;
Ej Channel;5;14/03/2023 12:39;Belum bisa melakukan pembayaran tagihan air Aetra Tangerang.;;
monica alusiana;5;14/03/2023 12:37;Mantab;;
Erwanto Ainur;4;14/03/2023 12:32;Sippp;;
Fabian Azka;5;14/03/2023 12:28;Ok;;
Edy Priyo Subowo;5;14/03/2023 12:14;Praktis dan memudahkan;;
Gilang S;1;14/03/2023 12:13;DRIVER GOJEK PADA SONGONG GA SOPAN SEMUA. TOLONG DRIVER NYA DI DIDIK;;
Dina Olin;4;14/03/2023 12:12;Bagus;;
Hend Rik;5;14/03/2023 12:12;Sangat puas;;
Tegar Fadli I;1;14/03/2023 12:11;Kocak kocak ,mau Aktifin gopay plus aja gak bisa mulu ,aneh banget;;
Siti Rukayah;5;14/03/2023 12:10;Baru pertama naik gojek,drivernya baik;;
Taufik Rachman;5;14/03/2023 12:08;Mantap dan cepat sekali prosesnya..;;
Ina Sri Rahayu;5;14/03/2023 12:08;Ok;;
Boy Muha;5;14/03/2023 12:05;Ok;;
Cici Yuliana;5;14/03/2023 12:05;baik dan ramah;;
Dina Aditya;5;14/03/2023 12:04;Mantap driver nya terjangkau ongkos nya sukses terus gojek;;
bang zay;5;14/03/2023 11:51;Transportasi yang bisa di andalkan;;
Wiyanko Winarko Adi;1;14/03/2023 11:49;Saya kecewa dgn. Gojek ...jarak tempuh sama harga bisa berubah rubah..keuntungan bagi pemakai sekarangpun gak ada...harga juga mahal;;
Sri Imut;5;14/03/2023 11:48;Oke;;
hery dwi;5;14/03/2023 11:44;Aplikasi ini berguna banget dan bagus banget;;
Joanneke Claudya;1;14/03/2023 11:36;Promo gofood gak bisa di pakai keterangannya hanya promo di batalkan tadinya berpikir oh mungkin hanya 1 merchant ternyata hampir semua .. Nyesel udh update;;
OSH PAPILLON;5;14/03/2023 11:33;Hari ini nyaman sekali naik Gojek, drivernya ok banget kereeeen 👍👍👍👍👍;;
Siti Zahwa Salsa Sabrina;1;14/03/2023 11:25;Gojek gimana si ni kata nya mau bantu beliin makanan pas kita males keluar tapi saya keluar juga, karena alamat mental jauh bgt sampe harus ketemu mas go food nya keluar jauh;;
Hafidz Game;2;14/03/2023 11:25;Gw udah langganan gofood pluss eh mlah vocer grtis ongkirnya ilang.. smua vocer ilang lahh;;
Nanda Aulia Winda Lestari;5;14/03/2023 11:24;Kapan saya dapat voucher;;
Taufik Hidayat;1;14/03/2023 11:11;Tambah mahall...;;
Vania&kania youtube;5;14/03/2023 11:07;Selalu terbaik;;
Rafif Bintang;5;14/03/2023 10:54;Okk;;
Zulwan Zweihou;5;14/03/2023 10:43;Mantap;;
Muhamad Wahyudin;1;14/03/2023 10:18;Ga bisa tarik tunai lagi payah;;
Nikami Farm;1;14/03/2023 09:59;Ga bisa masuk, ga bisa di update,;;
Moh Khafid;4;14/03/2023 09:52;Seharusnya Pihak Gojek dan KAI bekerjasama agar tidak perlu membayar biaya parkir. terimakasih 🙏;;
Anderson Poewi;5;14/03/2023 09:51;Sdh lama pake gojek,sangat membantu dlm menjalankan aktivitas sehari hari,mantap;;
rahman;5;14/03/2023 09:48;Aplikasi gojek tarpercaya dan saya suka dengan aplikasi gojek;;
Tetew Tetew;1;14/03/2023 09:32;Membuka aplikasi harus menghapus whatsapp dulu aplikasi tidak guna;;
fitriani zahmadani;1;14/03/2023 09:29;Baru kali ini pake gopay agak kecewa saya pembayaran buat beli Antam pake gopay transaksi gagal tapi kok saldo kepotong? Maf rating saya rubah lagi;;
zona 77;1;14/03/2023 09:25;colaborasi kok sama plastik tulang lunak wkwkwkwkwk🤣;;
Hartini;5;14/03/2023 09:22;Suka;;
